normal_angle,normal_deviation,l_CIELAB,a_CIELAB,b_CIELAB,standard_l_CIELAB,standard_a_CIELAB,standard_b_CIELAB,MIN_height,MAX_height,bounding_box_width,bounding_box_height,bounding_box_depth,bounding_box_vertical_area,bounding_box_horizontal_area,vertical_elongation,horizontal_elongation,volumeness,
0.778717,0.38586,37.9087,-4.18283,3.63791,405.462,1.45576,18.8415,-0.0705951,0.399651,0.751579,0.470246,0.517623,0.353427,0.389035,0.625677,0.688714,0.908471,
1.58687,0.414425,27.5681,-4.43719,5.5956,297.451,1.99506,14.0268,0.13654,1.1256,1.37626,0.989063,0.267455,1.36121,0.368089,0.718659,0.194335,3.69805,
1.52899,0.222311,26.2466,-2.99641,5.51235,227.866,19.6735,13.003,0.315241,1.13118,0.772769,0.81594,0.20664,0.630533,0.159685,1.05586,0.267402,3.94861,
2.22519,0.733555,23.5861,-4.75782,3.9401,0.222347,0.114036,0.0092878,0.719833,0.805324,0.150876,0.0854913,0.0939546,0.0128986,0.0141755,0.566633,0.622727,0.909922,
1.99993,0.0920822,23.698,-5.1196,4.07143,0.542293,0.564444,0.625775,0.488607,0.741314,0.167138,0.252707,0.106992,0.0422368,0.0178824,1.51197,0.640141,2.36193,
0.977957,0.33809,25.9729,-4.29201,7.31616,65.9697,1.8902,8.34606,0.770521,1.13797,0.649964,0.367445,0.149791,0.238826,0.0973587,0.565331,0.23046,2.45305,
2.00026,0.251543,31.4375,-3.02728,4.03486,142.54,2.48423,6.63928,0.933045,1.15181,0.615219,0.218761,0.196227,0.134586,0.120722,0.355582,0.318954,1.11484,
2.29915,0.530588,7.77035,-2.15773,5.99194,34.1745,1.00005,12.597,0.976837,1.15781,0.573364,0.180976,0.155029,0.103765,0.088888,0.315638,0.270385,1.16737,
1.92614,0.164789,48.2034,-2.02012,0.606587,3.7512,0.556144,1.06824,0.880759,1.05741,0.332445,0.176653,0.140178,0.0587275,0.0466016,0.531375,0.421658,1.2602,
1.07263,0.0938845,40.2021,-1.13275,3.42019,64.2181,0.127182,9.38554,0.973354,1.09791,0.148553,0.12456,0.0712337,0.0185037,0.010582,0.838488,0.479518,1.74861,
1.22634,0.111116,33.0894,-2.3354,4.11478,157.918,0.833358,11.6226,0.818124,1.14813,0.247552,0.330003,0.0986037,0.0816929,0.0244096,1.33306,0.398315,3.34676,
1.42421,0.371162,53.3106,8.41174,3.48226,597.61,177.178,50.3683,0.20819,0.419017,0.235081,0.210827,0.123194,0.0495614,0.0289605,0.896825,0.524047,1.71134,
0.583222,0.194184,49.5613,4.63711,1.74813,576.582,137.947,44.0974,0.272128,0.367086,0.253822,0.0949574,0.113192,0.0241022,0.0287305,0.374111,0.445949,0.838908,
1.56839,0.234418,25.5209,2.74451,8.59545,106.406,144.777,25.9805,0.0878332,0.430354,0.441788,0.34252,0.0924292,0.151321,0.0408341,0.775305,0.209216,3.70576,
